date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:46	167/167	---M--	200	added ('OK')	image/svg+xml	etag:%22589d534424c61fa6b1b7336b007891f0%22	https://d3e54v103j8qbb.cloudfront.net/static/custom-checkbox-checkmark.589d534424.svg	/Users/Sarthak/websites/technorax/d3e54v103j8qbb.cloudfront.net/static/custom-checkbox-checkmark.589d534424.svg	(from https://technoraxv9.netlify.app/style.css)
19:03:47	193/193	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sun,%2017%20Sep%202023%2013:33:46%20GMT	https://kit.fontawesome.com/e5493f8028.js	/Users/Sarthak/websites/technorax/kit.fontawesome.com/e5493f8028.js	(from https://technoraxv9.netlify.app/)
19:03:47	89476/89476	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=626205cb928346d5147b8547	/Users/Sarthak/websites/technorax/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8d1b3.js	(from https://technoraxv9.netlify.app/)
19:03:47	217/217	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Sep%202023%2013:33:46%20GMT	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	/Users/Sarthak/websites/technorax/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollTrigger.min.js	(from https://technoraxv9.netlify.app/)
19:03:47	217/217	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2017%20Sep%202023%2013:33:47%20GMT	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	/Users/Sarthak/websites/technorax/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	(from https://technoraxv9.netlify.app/)
19:03:47	0/0	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2017%20Sep%202023%2013:33:47%20GMT	https://technoraxv9.netlify.app/images/About/IMG_0156.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0156.jpg	(from https://technoraxv9.netlify.app/)
19:03:48	11068/11068	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2296edb61c19a0b7d81492ffc8c2a76816%22	https://d3e54v103j8qbb.cloudfront.net/img/background-image.svg	/Users/Sarthak/websites/technorax/d3e54v103j8qbb.cloudfront.net/img/background-image.svg	(from https://technoraxv9.netlify.app/style.css)
19:03:49	0/0	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2017%20Sep%202023%2013:33:49%20GMT	https://technoraxv9.netlify.app/images/About/IMG_0267.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0267.jpg	(from https://technoraxv9.netlify.app/)
19:03:49	0/0	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2017%20Sep%202023%2013:33:49%20GMT	https://technoraxv9.netlify.app/images/About/IMG_0272.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0272.jpg	(from https://technoraxv9.netlify.app/)
19:03:49	0/0	UR-M--	412	error ('Precondition%20Failed')	text/html	date:Sun,%2017%20Sep%202023%2013:33:49%20GMT	https://technoraxv9.netlify.app/images/About/IMG_0030.jpg	/Users/Sarthak/websites/technorax/technoraxv9.netlify.app/images/About/IMG_0030.jpg	(from https://technoraxv9.netlify.app/)
